gate (V),density (e12 cm^-2),Fermi wavenumber (nm^-1),Fermi wavelength (nm),Fermi velocity (e6 m/s),Fermi energy (meV),mobility xx (e3 cm^2/V.s),mobility yy (e3 cm^2/V.s),mean free time xx (fs),mean free time yy (fs),mean free path xx (nm),mean free path yy (nm),diffusion coefficient xx (m^2/s),diffusion coefficient yy (m^2/s)
0.7999999999999992,7.235467261854525,0.6742535249463903,9.318728155969461,2.601891224320543,577.3619160914711,2.8669453491787045,2.9118122097401593,48.90117234770455,49.66646146688663,127.2355311904789,129.22673023374674,0.16552650601313487,0.16811694767141191
0.8999999999999992,7.383057577325105,0.6810955798704761,9.225115377161101,2.6282941751463667,589.1390445411957,2.8360334337272555,2.882157901490103,48.373911196555646,49.16065118382581,127.14086902695482,129.2086531528517,0.16708180274329623,0.1697991752300737
0.9999999999999993,7.531739862534923,0.6879194519838658,9.133606106150562,2.6546269599384464,601.0033078943268,2.8044483561812847,2.8526792550137343,47.83516799339915,48.657837144370575,126.98452658846207,129.16840629574048,0.16854827388837595,0.17144696686247782
1.0999999999999994,7.670584770317992,0.6942312692924275,9.050565114394109,2.6789837655865396,612.0825871027063,2.778700726337174,2.8265858003936684,47.39599349538772,48.21276395108895,126.97309712798894,129.16121191902326,0.17007943293606262,0.173010394937273
1.1999999999999995,7.813109576298103,0.7006512348749582,8.967636099722162,2.7037579069022333,623.4555077577508,2.7508193622644854,2.7999400943157022,46.92042412668726,47.75827106526601,126.86146772773697,129.1268030126931,0.17150134822504567,0.17456380731928806
1.2999999999999996,7.9635589331983585,0.7073649445790388,8.882522883458389,2.7296655836371406,635.4607765028125,2.7206875166490048,2.770252162863172,46.40646854116515,47.251887274928706,126.67414003495817,128.98185045627466,0.1728890201951285,0.17603865905216268
1.3999999999999997,8.102005709237996,0.7134872334595014,8.806303760635164,2.753291014015273,646.5082863592035,2.695701628244106,2.7456768557636217,45.980286983327474,46.83270895737997,126.59711097303894,128.94407673434685,0.17427934402118123,0.17751028389158652
1.4999999999999998,8.242635920599026,0.7196527559089765,8.73085700789604,2.7770832793295934,657.7300257926485,2.6707535593201825,2.7216094400288298,45.55475050822839,46.422193687129685,126.50933593043234,128.91829787832768,0.1756634807457471,0.17900842471876777
1.5999999999999999,8.374104018405387,0.7253691979208812,8.662051442477873,2.7991425786210504,668.2206644905182,2.647902371094395,2.699023424941651,45.16498029719204,46.03694650523193,126.42321941245106,128.86397715249427,0.17693830819187156,0.18035432264899845
1.7,8.516626801858122,0.7315158534725466,8.589267446977335,2.8228620380633584,679.5934237558087,2.6220170629214725,2.67386589148285,44.72345743502791,45.60783721653747,126.24815020428277,128.74463231673684,0.17819055529369532,0.18171416758567077
